Foul,Post
1,RT @sorryimalex: idkmadz tbh I've seen you in recess at the monkey bars but I was too busy getting beat up lol ! we should talk more! rate &#8230;
1,life is ya professor better know that bitch is gone test ya
1,The only time I screamed was when Tyrese tackled that hoe ass bitch #TheWalkingDead
1,"@ShepNewsTeam LMAO dude, you said we would get no commitment from Saudi Arabia or Jordan! How does crow taste? More proof you are full of it"
1,RT @ruckin_andrew: This bitch has a death grip on this niggas balls. Smh http://t.co/uh6OSApcMw
1,"RT @ImNotTwitFamous: Big Sean is 5'7 and 159 pounds, yet he calls everyone lil' bitch. You the lil' bitch Sean, you the lil' bitch"
1,lol if you hate me i really dont give a shit because i've either done nothing to you bc you're just a bitch
0,"RT @decider: #2 on the field, #1 in our hearts! What if @Yankees star Derek Jeter starred in ""Back to School?"" http://t.co/nSZ6xGjkLV #yank&#8230;"
1,I called at least 20 times to make my hair appointment and these bitches don't pick -.- guess I have to stop in to make an appointment #Grrr
1,Always broke niccas how yu Robbin
1,@AwiLL_2RECKLESS bruh did go out like a bitch thoe lol that should not be his final match
1,""" cancel that bitch like Nino """
1,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Desi | paki http://t.co/XxcdQvzI9t"
1,Ladies remember other women (including your friends) are trifling you speak TOO great about your nigga other bitches WILL try him smh lol
1,Running dangerously low on cigarettes these bitches better last me till Monday or Tuesday
1,RT @jcash___: Bradshaw ain't no hoe
1,People who live in #theNetherlands are unwashed trash.
1,@goodgraces_ k bitch http://t.co/itUAHyHc0R
1,RT @StoppaOnline: so many groupie hoes in the condo its a group home - @KirkoBangz
1,"@BretVonDehl Damn you bitch you never answer me anymore... LMAO JK ILY! Anyway glad of your first show, be safe when going to the next one"
1,RT @SochittaSal: Short bitches run sh!t.
1,RT @AliAbunimah: The people of the ghetto are rising up and fighting back. Whose side are you on? #Gaza
1,Since a lot of you lil bitches wanted to add the 5h hashtag into all my tweets I'll do that shit back #vote5sos
1,RT @FoodPornPhotos: Oreo Cheesecake Bites. http://t.co/ybOQrrTJyt
1,"LA M&#193;QUINA

Una vez en Jap&#243;n 5 japoneses crearon una m&#225;quina que atrapaba ladrones. Primero la m&#225;quina la... http://t.co/khzl8PfGCT"
1,"@Chrisworldpeace So I guess that makes us blacks double niggers, huh?"
1,&#8220;@Woo_Chamberlain: I just made that interview my bitch. &#128526;&#8221;--finessed it huh!? Lol
1,RT @BluntsNextDoor: When a bitch get you fucked up https://t.co/CnlV5nwnxZ
0,#ExplainAnAnimePlotBadly Boy with a monkey tail grows up to the the savior of a futuristic yet old earth
1,"RT @JstKeepScrollin: Been trash ""@WeAre_XCI: The gay Chris bosh jokes are getting old now"""""
1,"Oomf a hoe. She know she a hoe, I know she a hoe, she wont claim she a hoe, so she say she aint a hoe, but...WE ALL KNOW YOU A HOE!!! HOE!"
1,&#8220;@skinnysowhat: @PAPER_CHAYSIN you won't have to herd for hoes no more lol&#8221; lmao I hope not this shit SCHRESSFUL
1,You got me faggot
1,@rickandbubba that's enough of making fun of retarded people talking that way
1,@djfeds yeah bitch did it taste good fucker -.-t
1,"type a bitch make u take her on 10 dates, then she give u da pussya and the shit weak. damn."
1,"@kieffer_jason yes bitch, your a fucking square"
1,"""@SmeegBaby: Dese hoes be LYIN to all of us nigga"""
0,"Do girls wear bathrobes still cuz I have really cute fuzzy $60 bathrobe from Victorias Secret, is that even ok to wear &#128589;"
0,Joba Chamberlain looks like a homeless guy that won a contest. #Yankees
1,RT @NoChillPaz: That bitch is dirty http://t.co/gWvAnyKzoo
1,@iamadamg_ fuckin bitches talkin shit bout to get hit.
1,"niggas get a fresh cut, snapback to match the shoes and shirt.....and don't even say waddup to the pretty bitch next to em in da bus"
1,@SteveWorks4You Friggin Red State pussy Republican. The parent too!&#8594;&#8594;&#8594;&#8594;&#8594;&#9733;
1,"""Nah its You @NoMeek_JustMilz: &#128514;&#128514;&#128514;&#128514; yo i thought some1 photoshopped my face on that faggot smmfh...i hate yall"" http://t.co/5e2fkQ3Q2T"
1,@_xpriceless_ ok bitch damn I will I'm not even tierd my phone just dying
1,Just a young niggah wit a promised future. @CaseyVeggies
1,"Me: ""Mom, honestly, thank you for making me a bad bitch."" 
Mom: ""You've gotta stop."""
1," I really don't give a fuck . Once you start that "" You got hoes , you fuck with bitches "" shit I'm deleting yo... http://t.co/ylvtlUZsi0"
1,&#8220;@Jaydillz: The day you unblock me you will become a man again. But that won't happen so you just a bitch.&#8221; @iDisrespectHoez lol
1,I wnna go to ihop bitch
1,@SenMikeLee just pulled out his pocket Constitution! Bring it man! @tedcruz just mocked McCain's wacko-birds comment! HaHaHa!!!!! #standtall
1,What's really funny bout this pic is I'm sure they believe them hoes is bad &#128514;&#128514;&#128514;&#128514; http://t.co/15R8WoqXHd
1,@selenalinn_ the jets are trash my bad i see what you meant &#128514;
1,Never seen purple bird poop until today lol http://t.co/4Psdx11Uu1
1,Who's ready for nigger spam?
1,RT @neiltyson: Just to settle it once and for all: Which came first the Chicken or the Egg? The Egg -- laid by a bird that was not a Chicken
1,@NoBeeetch @Iam_webster faggot
1,Ima pull up eat on that pussy and dip...
1,"@dish 
Was just wondering if yo espect to add mo colored tv stations befo I renew dis"
1,RT @DrBrewWatkins: Getting bitches http://t.co/dwyd4RRM7v
1,I curved yo bitch. Your welcome.
1,@UltraGoogle what's a puto isn't that bitch in Spanish.
1,"RT @MillerThaGod: When Kendrick Lamar said ""I call a bitch a bitch, a hoe a hoe, a woman a woman."" I knew he was onto something. He was pre&#8230;"
1,"Everyone calls me ""b"" they be like oh wassup b &#128524; and I be like wassup my niggah"
1,@SusanneWhite they're so goooood. I just want like a savoury salty cheesy cracker
1,"RT @JoeCool_TVC: You can't be a hoe saying that another girls a hoe. Your both hoes, it cancels each other out."
1,&#8220;@SheSoViciouzz: It might be RT @WarWith1Gun: Some of y'all females pussy wet cause he cried&#8221; smh
1,@KelseyHison @JODYHiGHROLLER see bitch this is why you have no friends
1,RT @MoneyHG: I love pussy
1,Me and this song bird sang in the same HS gospel choir!! http://t.co/aJ5HwhpRwc
1,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC"
1,My sister told me that I look like a bird. While my past told me that I look like an alien.
1,"Hell yuhh they hit haha s/o ma nigga,
gmula! Cheweing one takes a chug, then sniffey"
1,Swap meet bound #beaner
1,Sluts and hoes are needed.Respect their services.
1,"@KayciMalynn yo bitch, I miss you too."
1,RT @Mix_Mommie: Wyd hoe bucket&#8220;@TheKaosYatti: @Mix_Mommie heyyy&#8221;
1,"We bout to be the next Chik Fil A, lmao. Couple of fags said we told them if they didn't like their food to get out.
Never happened &#128514;&#128514;&#128514;&#128514;"
1,@ItsYOUR_man make me white trash cousin fucker
0,"RT @Allan_Son: I got gatorades, Twinkies, rice puddings, Pringles, and cookies &#128525;&#128555;"
1,glad to know you were just a hoe looking for all the attention #GladYoureGone
1,RT @DogBountyHunter: @WarMachine170 Hey Boy This half breed Chiricahua Apache is on YOUR ASS #Eatmytazer !!
1,I would commit the rest of my gay life to being a complete 100% submissive bottom if I could be Zac Efron's bitch. #NoShame #gayboyproblems
0,"@oliver_______ if you're making 300 clams for betting 5, i hope you do it for a living"
1,Why you gotta be such a hoe smh I ain't captain save a hoe !!
1,&#128514;&#128514;&#128514;&#128514;&#128514;&#128514; RT @KarltonHinez: @ItsNotHarold smh bitch sellin her ass
1,@RavenPeltier_ these hoes ain't loyal
1,"@Freegeezy17 nigga look my size, plus it get hit in the ass, an look like its been fighting all its life.... I'll sneak dat bitch an RUN!"
1,"""@JAYten9: In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9uKD8wtZ6x"" lmao damn captain SaveAHoe"
1,But bitches be mad than a Mf when they don't know what I'm doing &amp; how I getting it &#128175;
1,RT @mzkiccz: I don't tell bitches I show bitches&#128524;&#128133;
1,"To be clear, I don't think there's any chance Krug leaves for Russia. But it's fun to mock the speculation."
1,When it come to bitches.... niggas will get dirty
1,RT @Cameron_773: You a hoe if your cellphone bill more than $100 a month
1,Called Eddie a hoe.... By mistake doe. Lol
1,RT @sbacilio1224: Neta bullshit aside I need to get me a bad bitch
1,"@mesmart029 Someone recently told me that a local yokel was going to ""use my twitter account to damage me"" so... Yeah."
0,@ksecus I give up on the Tankees I mean Yankees. Maybe next year!!
1,"Well,is he gonna take da bitch or naw?"
1,Gay ass nigga &#128514;&#128514; bitch you thought you thought
1,RT @MeganCammalleri: Thank you to the Perkins student section for participating in the yellow out. We all really appreciated it!
0,&#8220;@ghostriderJ1: Yankees will never have someone wear a single digit uniform again after this season&#8221; Wow. Shows that is an epic organization
1,And them niggas pussies...cameltoes &#128514;
1,RT @Coolie_GBE300: I hate when niggas be slobin all on the blunt like they eatin pussy &amp; have the nerve to try &amp; pass it. I'm good nigga I'&#8230;
1,even though my baby is an invisible non existent bitch
1,@_xpriceless_ correction bitch yo illiterate ass wanna eat my pussy and I got some center street boys dat u can suck up nun major
1,Why is Baltimore so damn ghetto &#128514;
1,@O3_Millz white bitch?
1,RT @DarrionMarz: pregnant bitches get on the bus and think you suppose to give them your seat like bitch you should of fucked a nigga with &#8230;
1,&#8220;@SexualMedic: How I feel when I'm throwing trash away... http://t.co/qQ94N1rD5N&#8221; everyday in school.
1,Why was Jorge Zimmerman arrested? Do prosecutors have a witness that saw Zimmy attack TrayTray? Are they afraid of the hoodie pussies?
1,"@bosxe it worked, bitch!!!"
1,RT @camilleftansel: i've read the hunger games 12 times i am trash
1,RT @STARgotthatDOPE: A lot of these hoes be cheating on they nigga fucking other niggas. Y'all boys better get y'all a real bitch that ain'&#8230;
1,That shit is for the crows in wal mart parking lots
1,RT @__thaRealist: Sum hoes be smoking to look cute bitch u better inhale that shit wasting weed
1,&#128514;&#128514;&#128514; played that nigga smh &#8220;@sexualgifss: bitches are so shady... oh my god &#128514;&#128514; http://t.co/1VhC9LqsKg&#8221;
1,Get tf off joseline pussy!!!! Like damn
1,@BarackObama @MichelleObama omfg you elitist bitch no one cares what you think! go fuck yourselves are you in china anyway?
1,RT @macktology101: You women are not wild animals...(well some) you can control your own attitude and put yourself in place u dumb bitch
1,"Fuck that I got a curfew I break that bitch tho idgaf , she could fuss and curse at me when I get home lmfao"
1,"@kieffer_jason am done are acting like a little bitch. My 5 year old nephew realer then your scary ass, sunset is not a time u dumb fuck"
1,You thought I was playin when I cut that bitch off
1,Wanted to eat her pussy from the back but she's sleep...smh
1,She trash tho.
1,"@MilitaryTimes That's what happens when you have pussies for presidents and generals, you have to fight the same war over and over again."
1,"""@LolaaIsDope: Lmao fucking snake bitches"" @ em"
0,It ain't April Fool's yet.. &#171;@IGiveEmNathan Jay Z trash&#187;
1,Ate the receivers really fast or is pass coverage trash?
1,Maybe I don't text you first because you read my messages and don't respond. &#128529;&#128529;&#128529; k bitch. @NCPostGrad
1,"#RedSox, focus on the #Orioles that knocked you out last year, and not your hatred of the #Yankees for um-teen years! LOL!"
1,"@DJSuggablack some people do shit to get shot at and then be like ""people hate me, I dodge bullets"". Karma is bitch."
1,greatwhiteprivilege: straight people are like &#8220;can we all just be nice to each other&#8221; and queer people are... http://t.co/MiKfbLNZII
1,"I'm going to sell my iPhone and both my Macs, I don't support faggots."
1,"RT @obscurespinosa: I see people tweeting ""what if the purge comes to my city"" bitch the purge ain't no tour"
1,Then i fuck yo bitch
1,That bitch is goin off off off!!!
0,The bird is the word. #EsuranceSave30
1,"Humble personality, not a hoe. RT @LoveMeDarlingg: 21. Best non-physical feature the opposite sex can have?"
1,@TheMilkMan57 @wyattnuckels @grizzboadams haha the little shit talkier brought his other bitch
1,"@mikecheck_123 try this one Mikey, none of that hick shit...http://youtu.be/Thls_tMuFkc"
1,will u love dat nigga even if he lose it all... or will u dip like the groupie hoes searching for another &#11088;&#65039;
1,@Police_TactGear Article is flawed. Took my first CHP with BRPD. Was well done. Even had 2 ghetto gals with a jammy Hi-purnt 9 but well done
1,I just cracked my motherfuckin phone god damn I feel like punching a bitch in the motherfuckin throat
1,RT @wizkhalifa: Respect the man with vision and a gang of bitches to follow it.
1,RT @tupactopus: need a bad bitch who knows how 2 treat a pokemon master right
1,No matter how hard you try to be rude mf`s they keep talking to you. like bitch do I know you
1,@whiteangelss84 @fields_devante mmm where the fuck is that at honkey? U need to wake up and realize its 2013 and get off of the skin
1,"@J_Fritzy @vivaalakatyy @Lompartayy @brotherbill7 @JHuff_5 bitch better back up, Katy's mine"
1,RT @CuhCuhCuh: white hoes still wear UGG's in hot ass weather cuh
1,This hot ass black girl from twitter goes to WOHS lol. That's cray. I thought she was some alias ass bitch from miles away
1,"@stevedischiavi Thanks 'Walking Dead' Bro Steve For Mend..USMC ""Come on you son-n-bitches you want to live forever""! DoG"
1,"@KingHov1313 boi stop! Aint no hoes in the 11th ward...never have been either, thats why nobody knew where our hood was..aint no hoes"
1,#tbt me being a bad bitch http://t.co/Jc4bKbe8Vt
1,"@Lillian__Taylor I'm apparently the ""Good Luck Chuck"" of bitches. -.-"
1,"You hoes love sayin ""You think you cute huh"".. Naa, You do.."
1,I take a bitch home give her long dick
1,"Can't stand that asian dude just now, faggot gives me attitude cause I almost forgot my water, fuck u faggot if I wasn't on stage"
1,@mrspinkyyyy what's the name of that hoe? Lol it sounds good
1,Charlie and I!:) love that dog!!:) http://t.co/8AQXiYg6Ov
1,RT @NuteIla: when I die on flappy bird http://t.co/HKNUTfDVJZ
1,RT @Chaantellie: Beyonc&#233; seems like a bitch
1,&#8220;@ICEom @SupurMario27 coolin my nig ( @1TIMMYTEE voice)&#8221; uhhee ( @ICEom laugh)
1,"My duck got big as fuck. 

Yes, duck, like the bird."
1,"S/O To all the hoes waiting up for that goodnight text.. Bitch please, that nigga don't love you"
1,RT @Coolie_GBE300: When the side bitch try to approach you in public. http://t.co/GbbIob1Ots
1,@piersmorgan his hillbilly ass would shoot ya piers put ya right next to the buck hangin on his redneck ass wall
1,Munching on ww crackers &amp; studying NYCs trans syst. Since NYC &amp; I haven't had a thing in over 15 yrs #clubinsomnia #vacay
1,@cheetahxcheeks lol trash I would of kept it if she was cute
1,RT @_LiftingProbz_: if i had a dollar for every time i fucked ur bitch http://t.co/8ike4m29co
1,Someone tell this hoe to turn on lion king
1, Wake up I'm blessed &#1041243; Steaight Kush No stress &#1043293; Thankin God for ma success &#1043359;&#1041240; Ma bitches say I'm the best &#1043351;&#1043323; .
0,WALK OFF HR! @Yankees
1,&#128514;&#128514;&#128514; Nicca gotta team full of worsum hoes
1,@Inkedup_Tiny ^___^ still should've walked over and said something pussy
1,RT @BigggDickBandit: You lil stupid ass bitch i aint fuckin wit you
1,"RT @RonTheAnchorman: a girl tweeted ""you might be ghetto if u bring food from outside into the movies""

no u might be stupid if u pay 4.99 &#8230;"
1,@JonJanke @Deadspin @jtrimbl3 You sound like you're pussy whooped. #freelikeabird
1,100 days til Christmas bitches
1,@_illionaire he been taking them hoe lol
1,"RT @KermitIsASnitch: You always say we dont love these hoes, yet yo girl a hoe... http://t.co/EuoOl79WDQ"
1,"@NFLBadwitch bitch please. Don't get shot, Doug. @TheJazzyBelle"
1,@dxum7 Jordan's are trash
1, Lemme find out you didn't answer my call cause you otp with that niggah &#1041204;
1,@XxminijokerXx I HATE birds! They just piss me off about the fact that I can't fly!
1,"Bitch ass people are the first to call someone out for being a ""bitch"""
1,When a super bad bitch walk past u and u can't help but stare http://t.co/64Iwjvx2xE
1, These niggahs bitches call they momma tell her come and get'emm ! It's either that it shoot him or shoot whoever with him .
1,Hope you find a bitch with some ass that satisfies ya needs
1,@Nreid27 lmaoo you're the pussy who will call the cops. Also if I wanted to find yu I would. But I'm not gonna waste my time with you
1,@Aram2432 I have class nig
1,RT @Trackstar275: With your bitch ass...
1,"Since cats lick themselves all the time, they should be great at eattin pussy"
1,Sorry fo da rant. It make me mad and ashamed to be colored. I wish I be white so y'all would like me
1,Smack these hoes on they ass like we birthed these bitches
1,RT @AshlynnFullmer: This is my beach bitch @tonydecola http://t.co/uEqoEylafP
1,@munafal777 karma is a bitch
1,@Marco_Spatula stop looking porn fag
1,RT @ckillaTRIPPY: Im a knock the pussy out like fight night
1,@Caroline_Poe haha i dont remember following you but ok? Get your pannies out of of bunch cunt
1,@wutkarina Alright fag
1,I think you've made it clear that these hoes ain't loyal
1,Alex Smith wears red and yellow now so quit being psycho ex boyfriends and get over him. He's in the past
0,"Bij vraag wat is d naam van de engels des doods,dacht eerst Robert.Ik:Israel..uhm iets met Gargamel,hoe heet die kat ook al weer..oja Azrael"
1,All you bitches can keep getting jealous. I loveeee ittttt
1,"RT @TEYANATAYLOR: Me and this bitch may not be the best of friends, but this cover??? #STUNNING! #LoveIt She ate that &#128525;&#128525;&#128525;&#128525;&#128525; http://t.co/N5z&#8230;"
1,Fucking pussy bruh lol
1,@CabHotties who ever said this is so dumb. My moms a cop &amp; ill have her track you down for being a lil bitch. Kay bye(:
1,Bad bitches is the only thing I like
1,"RT @StripesAllure: Bitches eyebrows be on FlEEK &#128064;&#128551; 
Loyalty on Weak &#128581; edges incomplete &#128134;
and pussy on REEK &#128553;&#128567;&#127887; &#128514;"
1,"&#8220;@King_SM If Howard elbow bosh, will bosh fight back?&#8221; don't have to got mcbob bird and UD"
1,Real bitches who really hungry won't be out here arguing with bitches on twitter straight flexin
1,"RT @cpabry: Curious George, the curious little monkey or deranged serial cat killer? The story the man with the yellow hat doesn't want you&#8230;"
1,Well I'm back on the prowl for a bad bitch
1,I lied the fair isn't the only place Reno girls dress up like cowgirl sluts NITC hash tag bitches
1,"Chasing these hoes, better get cash nigga"
1,RT @Skate808s: God all a nigga trust I can't trust that gun cuz if that bitch jam I'm fucked can't trust niggas they bitches got they dicks&#8230;
1,@bitchdicknigga you're a fucking nigger
1,@2014samanthaKay good enough fag
1,"I still can't get over some of these retards going ape shit over this iphone 5, makes no sense to me whats so ever."
1,Boy damn jitt got his ass bitch slapped in da court yard comin to 6th period &#128514;&#128514;&#128514; i was yelln n shit
1,@brandon_even Them aint the bitches im talkin bout &#58386;&#58386;&#58386; aint no jungle fever over there LOL
1,@grrizzIy pudding it right in her pussy
1,"@GuTsSidious Yeah, so quit being a bitch and edit."
1,"I see bitches ain't been doing nun, but trotin &amp; thotin &#128514;"
1,@SkinnyKenny13 @Zaytovenn__ shiddd add me I a turn that bitch up lmao
1,@tropicth you know. pens for school? to cut all them bitches
1,"""Foreign chick, no lie.. Man that bitch Beautiful"""
1,Detroit nicca but I'm good in the A!!
1,@Stonisnipezz this is a joke right? You're on here like ugh I wish I was a jap and tweeting in gook and shit and jerkin to hentai.
1,@HollowDaDonLOM those god damn chinks. http://t.co/Bi6fgP5vGo
1,I guess niccas think if they owe you money for so long you'll forget! &#128530;&#128530;
1,@Negroizzle @AnastasiaPacana @IHeinz2012 @R3lentlssTr0ll @M_Overture i trusted you queer cakes! wheres the passion? she made me do it dammit
1,Can I get some good neck out dis hoe?
1,@lkxox_ bitch*
1,RT @PenguinGraham: Someone who claims they're a bad bitch shouldn't get offended so easily.
1,@SAULSOF1LTHY you aint shit pussy lol go get hit you aint been touched in 10 yrs lmfao
1,"RT @rappersaid: When Tupac said ""I ain't a killer but don't push me, revenge is the sweetest joy next to getting pussy."" http://t.co/wL3mtG&#8230;"
1,"RT @YoKidAintMine: alcohol is liquid truth. So if a girl is a hoe when she drinks, she's naturally a hoe anyway."
1,"You know you are in the ghetto when you see streets named Martin Luther King Jr &amp; LittleJohn. 
#halp"
1,"dope in the bag, pretty bitch on the side
I sell dope in the back,if you tryna get high #ty"
1,"""@obey_jrock__: This is a true ride or die bitch &#128175; http://t.co/bkwHX83fkW"" what the fuck hahahahah"
1,"I don't care how hot a bitch is, if her personality is shit, shes shit."
1,"This faggot in a truck was tailgating me, so I hit my breaks, he cut me off I switched lanes he cuts me off again to be a little biatch then"
1,It be 30 below zero and hoes still go out like its 90 degrees plus tax
1,"&#8220;@youngmintono: This girl stress me out , ion even have no hoes http://t.co/yPTxVbb3SK&#8221; shit I be saying lol"
1,RT @amnesty2016: Stfu stupid bitch. God damn. Unfuckingfollow me then!!! Shit.
1,RT @quecaine: white bitches love cocaine
0,Can I double stuff your Oreo?
1,"Niggas be like when they see they side bitch cashin another nigga ""@MikeDiggEm: Hello mutha fucka......."""
1,Giants you bitch
1,RT @salomanizor: Kick her in the cunt
1,I'll live my life the way I want bitch
1,@EatMyTattoos that was real nicca shit tho lol
1,"""@datFullerkid: @TreVaughnLG yall both gimped up??"" Ain't tht a bitch huh lol"
1,"@MorganSmith_20 unfortunately you are correct sir , still eat shit and die though ....bitch :)"
1,"RT @daggerbyte: Call me old fashioned, but I'm sewn together with magic and birds."
1,I just saw a man have a actual conversation with his bird haha
1,Dey gave da wrong nicca money
0,"@santagati that's bc I deleted ""visionary"" once I saw your subtweet. next time just @ me tho. (and I do love jail bird dresses.&#128513;)"
1,RT @mckinley719: Like bitch. You already know the answer. It's all for bri #Duh
1,Chiefs fans are the only ones that claim my takes are wrong about Dogshit trash Quarterback Alex Smith.
1,Yas bitches http://t.co/yey8ml5snK
1,"""How u talking to hoes bout bro n em.. Why you talking to hoes bout bro n em"""
1,"RT @xSALUTE_BADDAZZ: Well I just got conformation that is your body count is five or above, it's high and you a hoe &#128514;&#128514;&#128514;"
1,sometimes I'm just like wow this bitch had the audacity to talk shit .... look at you and your life then look at me and mine &#128514;&#128514;
1,she thru me dat pussy but I never caught it... u asking me why yo.. it got to much mileage
1,It ain't nothin to cut a bitch off
1,RT @JoleenDoreen: I was in a Kik group once. But we called it a party line and old Charlie the barber was always hogging the calls.
1,@_SparkleLikeZen saves you a brownie*
1,Ok so not all the shows on Cartoon Network are complete trash. Stevm Universe is awwwwwesomeeeeee
1,"""Wow you are a bitch"" 
 Yes that's already been established, anything else you have to say?"
1,@surething_mark you didn't even pass ESL yet you bitch lmao
1,#ThingsIWillTeachMyChild how to play deez niggas n bitches dat be snakes
1,Fuck bitches get money ayyyyeeeee
1,"first thing to do when you meet a famous star:

sell my hoe"
1,"RT @DJ_MARVZ: Chris brown got no chill button..... Why sell a bitch out on social media tho? Like not even a subliminal, buddy took time to&#8230;"
1,@BryanBalsamo lmao u ain't a savage &#128514;&#128514; these hoes for everybody
1,Im about to get all the pussy.
1,"RT @Whitesidemzu: Me: MOM CAN YOU MAKE ME A SANDWHICH!!! *doesnt hear* *whispers to myself* ""deaf bitch"" Mom: WHAT THE FUCK DID YOU JUST SA&#8230;"
0,RT @JonyPrivat: #cheese #crackers #lacking http://t.co/ijDHKWdkoQ
1,A squad of dyke cholas fear nobody. They worse than the cartel
1,"Aint #WCW jus ""bitches i wan fck"" day?"
1,@HanSolosSon bruh really rocking a toaster on his face lmaoooo he prolly got 0 bitches too man.
1,"RT @PhillyDaBoss323: LOL favorite line tho ---&gt; RT @_bendoneit
You say no to ratchet pussy, juicy j cant."
1,"""I'm comparing KFC to the pussy"" @MaxOn_MaxOff5"
1,"Chill, I'm not a coon RT @AmbitiousCam: Sick of you fake bougie ass coons lol"
1,On the secret Party mission! Live tweaking to mock FATPO.
1,RT @savethesehos: Your bitch when my Skechers light up . http://t.co/vqLUSPYqmO
1,@Pipe_Tyson Me? Nigga YOU the pussy. I got hands for you dawg!
1,@SAULSOF1LTHY pussy boi
1,Married a skinny bitch but trickin wit a thick bitch.. She got sum big hips I call that boa a hypocrite
1,RT @DearAwkward: That awkward moment when you hold the door for someone and they use the door next to it.. Like bitch you better back th ...
1,&#8220;@iKayKing: Things hoes say... https://t.co/i9zs1OUd0I&#8221;
1,@noma2300 bitch fuck you &amp; your dad.
1,So excited for this white trash bash party tonight &#128540;&#127867;
1,Still waiting for oomf to hit that hoe lololol
0,"I wept when #ThurmanMunson died, and I weep 35 years later. #Captain #Yankees"
1,"RT @korsczurek: Got to hold a koala, take selfies with kangaroos, saw a bunch of bad ass birds of prey, and pet a fucking emu today... wtf &#8230;"
1,Nower days the defenition of a bad bitch is how good her pussy is ?
1,This bitch tryna eat peanuts I'm tryna eat steak an shit bitch don't know nothing about grindin
1,@DanielDavidLee @xoxoShima ya girl is a slimy ass hoe. get her under control and tell her to stop spraying bullshit out her mouth all day
1,@italian_montana OUUUUUFFFFF you will see pussy
1,@TheSicThem @AVeraIcon @lrishGirI__ @OakRidgeStars @izzyjsmom @iambo_rd @asideofbacon @APLMom @Cat_F1sh_ or a celebrity. Poor bitches
1,&#8220;@comedianjayski: My favorite time of da day HAPPY HOUR!!! #Drinkbreak&#8221;when the bad bitches come out and the ok hoes at home doing make-up
1,White people always gave yellow ass teeth
1,how the fuck do all these fucking faggot ass randos even find zoe's ask account????
1,Lmfao.. oh i forgot.. texting it to u now RT @DaRealQuitaM: @VonshayeB I told u to text me what I need to buy for the salad a bitch hungry
1,"Karma is the worst bitch, remember that"
1,@KayciMalynn I know nigs
1,ima groovy type nigguh
1,RT @digiflorals: I don't get why people bitch about an unfollow when you never talked to them
1,"RT @Jordiiin_: &#128514;if you can fuck my bitch , then she ain't ""My Bitch""&#128080;"
0,&#8220;@AriaunaDaVon: Did I just start crying? &#128553;&#128557;&#128514;&#8221; bitch &#128514;&#128514;&#128514;
1,"@BlakkHoodie_562 always eatin good wit my niggah, and good lookin on the cd my boy got some heat now i can bump some bangers"
1,"@littlelouie33 eh, take off hoser."
1,@QUAN1T0 You retarded bruh lol
1,But yall niggas wanna call these women hoes when they leave you for a nigga that appreciates her. Fuck you lil niggas.
1,@RihannaHasAids I knew farquaad a faggot
1,&#8220;@prettycha305: Group chat bitches we call yall undercover Feds &#128110;&#128110;&#128110; watching everybody&#8221;
1,Studying for this bio test like a hoe &#128554;
1,"&#8220;@Jaime_915: @Thompson_Era @HannahAlisee null bruh they both alive thats hans bitch who died&#8221;

Oh well FBD &#128514;"
1,@jballinbutts420 sameeee bitch asss lol
1,All hoe money is gooooooooooood
1,Wait did @kidfivevibes take my brownies??
1,Sombody bring me some pussy
0,@HuntsTheWind I wonder if I have my very own NSA spook following me by now?
0,RT @Yankees: .@DRob30 comes in to close out the game here in the 9th. #Yankees
1,RT @Runyacheckup: Niggas and bitches gotta quit wit da money pics... If I can count it accurately it ain't enough &#128514;&#128514;&#128514;
1,"I hate that my mom says she trying to move out here... Like bitch the only reason your ""trying"" is because you don't have a place to live.."
1,Trash &#8220;@TieMyDuragBoo: Black people only play R&amp;B &amp; Hip hop at their parties..play some dubstep and House..yall coons need to expand&#8221;
1,At the end of the day seniors still love that young fresh pussy from west case closed
1,RT @prettycha305: Monkey see &#128585;&#128584;monkey do hoes&#128586;
1,RT @EisenbackEmily: I hate when people leave their trash in my car.
1,Back in this bitch again....
1,@HunturPls @SteeZeyFLOW nice ears bitch you look like a god damn elephant..
1,RT @SAMMI_boyden: Fucking James tried to tell me Jawga Boys sucked. I went ape shit dude @savanigga @OfficialDThrash @jawgaboyz
1,RT @Mike_Hall32: Schools a bitch
1,"Dreaming of the pussy that I slept on, ""cat nap""."
1,"""@socass_: ""@00sexilexi00: @socass_ yasss""

*trys new things with bestfriend*""

*bitch who do you love*"
1,"Eh bitch!? How about you worry about your own psychotic ass. Looks like you need to ""be saved"" from being a noisy bitch &#9996;&#65039;&#128139; #cantStandUcunt"
1,You a shoulda coulda woulda ass niggah Ima wish a niggah would ona hood ass niggah
1,"RT @LauraRosenCohen: #AskDrMann Is having no amici briefs filed on your behalf kind of like Charlie Brown never, ever getting ANY Valentin&#8230;"
1,RT @SoloDahSystem: As in rubbing her booty on another mans penis. Sure RT @PacDaGoat: Fellas you cool with your girl dancing with other nig&#8230;
1,A bf and gf&#128107; are suppose to laugh&#128514; at these hoes&#128111; together&#128145;. A guy should never have these hoes&#128111; laughing&#128514; at his girl&#128134;
1,@TonyO97 fuck i look like shopping at that trash ass store
