Foul,Post,language,Unnamed: 2
1.0,"RT @laken_heavner: What I really want is some brownies from H&amp;R, iced latte, my boy, and a blanket w/ movies. That sounds prettttttty amazi&#8230;",english,
0.0,"6. ""Gujarat mein mausam: Ambaji mein 2 ghante mein bhar gaya 3 inch paani, sadak par hi itna tez bahav tha ki chaar ladke bhi nahi rok paaye bahti scooteri https://t.co/Ih3QSzQxFv #Gujarat #Monsoon2020 #heavyrain https://t.co/mgFQCQSVVL""",hindi,
1.0,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Hairy | Hairy Florence shoves a dildo in her hairy red pussy http://t.co/4DM8Fpcb2d",english,
1.0,All the ratchet hoes on Cecil B,english,
1.0,"""@GirlThatsVonte: Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit",english,
1.0,bhai balatkari hai kya,hindi,
1.0,Kali choot ki jhant,hindi,
0.0,RT @trianglesoul: I wanna eat weed brownies but then I ask my self if I really wanna spend countless hours watching a documentary on sea tu&#8230;,english,
1.0,I hate when people organize plans and you end up reaching the destination before them...bitch don't ask me if I'm here,english,
1.0,RT @FoodPornPhotos: Oreo Cheesecake Bites. http://t.co/ybOQrrTJyt,english,
1.0,"Perhaps Ezra Miller is the first crack toward changing that, regardless of whether he identifies as queer over gay.",english,
1.0,Bum ass hoe,english,
1.0,"The streets a dirty hoe, niggad try to wife it though.",english,
0.0,"Amaranth Yatra ko le

kar suraksha ke kade intzaam, Bakhtarnband gaadiyon se lekar Jaimer tak lagaye gaye. https://t.co/3UldmGCxzM",hindi,
0.0,Utpidan ke khilaaf chuppi ka matlab hai iska samarthan karna.,hindi,
1.0,RT @llvvzz: Twitter should dump the little blue bird mascot and just officially change it to a set of boobs.,english,
1.0,RT @skyereyes_: &#8220;@GinaSanabria_: I have no hoes man. I don't need those though &#128564;&#8221;&#128557;&#128557; I need to pick mines back up &#128553;,english,
1.0,Arturo keeps calling me ghetto &#128532;,english,
1.0,"RT @TEYANATAYLOR: Me and this bitch may not be the best of friends, but this cover??? #STUNNING! #LoveIt She ate that &#128525;&#128525;&#128525;&#128525;&#128525; http://t.co/N5z&#8230;",english,
1.0,Sounded like a bitch but whatever,english,
1.0,He did dat headband shit on purpose .. Now the whole spurs team fuckin up lookin at this weird lookin nicca,english,
0.0,RT @PoliticalLaughs: Liberal Head Explosion: WW2 Navajo Code Talkers Appear in Redskins Jackets. #redskins http://t.co/ouxoQDHmID,english,
1.0,Wow redskins don't want this,english,
1.0,this bitch is weird she knows too much,english,
1.0,Baglundi randi,hindi,
1.0,"RT @JonnyFootbalI: Fuck bitches, get touchdowns.",english,
1.0,@O3_Millz white bitch?,english,
0.0,"""#Shahjahanpur aslahé ke bal par auto chalakon se vasooli, SP jila adhyaksh ke saath peedit auto chalak pahuche SSP office, jabran paise vasoolne ki SP ko di shikayat, thekedar par lagaya vasooli ka aarop.""",hindi,
1.0,wow im gonna smoke myself retarded when i get home,english,
1.0,RT @pocahontias__: Idc about yall bitches yo,english,
0.0,Jai Shri Ram 🚩,hindi,
1.0,We over here struggling with college and work and ice jj fish making money for being trash lol. What has this world come to.,english,
0.0,Baba Vishwanath ke aise sachche upaasak Dom Raja Shri Jagdish Chaudhary ji ka swargavaas atyant dukhad hai.,hindi,
1.0,RT @JoeBudden: These hoes gon FIND a way to wear some spandex I tell&#8217;ya,english,
1.0,Bryant must think he's so cute going out w his stupid ass friends and leaving me here but watch when he gets back &#128074;&#128165;&#128074;&#128162;&#128074;&#10024; lil bitch,english,
1.0,Katte tatton ka kofta,hindi,
1.0,Macchar ki jhant,hindi,
1.0,"RT @Papa_Erwin: This beat deserves Hennessey, a bad bitch, &amp; a bag of weed. The Holy Trinity",english,
1.0,It was my sophomore year that I learned these hoes weren't loyal,english,
1.0,lund si shkl h lund jesi harkat h,hindi,
1.0,RT @BigPoppaDot: I'll never think a bitch is all mine.,english,
0.0,Video: Shy Glizzy &#8211; &#8220;I Can&#8217;t Trust&#160;Myself&#8221; http://t.co/HRfuDrvZdb,english,
1.0,Betta ask round these streets bitch bout Jay,english,
1.0,Lund biryani,hindi,
1.0,bhadva saala rndibaaz,hindi,
1.0,Wtf am I watching bgc I hat watching these ugly ass ghetto hoes put there family name to shame,english,
1.0,"@Drake thank you for the lyrics, these bitches so gullible an sleep on your music they just be like aw u so sweet let me suck ur dick",english,
1.0,@Midnight_Snacka u calling me a pussy but u not bout shit fuck all this talking let's pop shit off then,english,
1.0,RT @__LilBrisko: I don't care about none of these bitches,english,
1.0,suar ki jhant salaaa bsdk,hindi,
1.0,RT @alexlundry: Charlie Baker!!!,english,
0.0,"Magar sunne ka nahi.'""",hindi,
1.0,"RT @thisdayinmetal: Apr 29th 1997 @WASPOfficial released the album ""Kill.Fuck.Die"" #TakeTheAddiction #MyTorturedEyes #WASP #HeavyMetal http&#8230;",english,
1.0,Fuck a lame nigga than you a lame bitch,english,
0.0,"Kushinagar International Airport ko Airport Authority of India dwara takeover kiya gaya hai. Vartaman mein hawai patti ka kaam poora ho gaya hai. Vahan par civil aviation ki building ka kaam chal raha hai: ACS, Grih aur Suchna, Shri @AwasthiAwanishK ji https://t.co/Bx7OD7zLiV",hindi,
1.0,RT @NatyyG: Some bitches be praying for the day you leave your nigga...,english,
1.0,"All them hoes crazy RT @Mr_NiceeeGuy: Thick thighs, &#128166; skinny waist, &#128591; and natural beauty face &#128149;",english,
0.0,"""PUBG game par jitna jaldi ho sarkar karvayi karein, yeh bachche ko zindagi se khilwad ho rahi hai. PUBG ko ban karo aane wali pidhi ko jeene do.""",hindi,
1.0,Fuck all y'all hoes &#128567; gang shit &#128175;&#128175;,english,
1.0,RT @GorgeousCamry_: it's two different things you hoes should know because a lot of you hoes THINK yal know me !,english,
1.0,@Hunglikerobby_ that was so gay. And I was tanning bitch. Juvie made me white,english,
1.0,@OnThisCloud_9 fuck you bitch,english,
1.0,Bhand randi ka choda,hindi,
1.0,tere jeso ko lund pr rkhta main,hindi,
1.0,"""@MegamindNick: @white_thunduh nah fam I gotta cheat with the hoes"" depends on the female i feel",english,
1.0,bhai ma chodunga teri,hindi,
1.0,I dont got no type... Bad bitches is the only thang that i like! You aint got no life.. Cups with the ice and we do this every night!&#127926;,english,
1.0,Randi ke tail,hindi,
1.0,"&#8220;@YoureGayIf: .@1227jarred Shut up, faggot.&#8221;&#128514;Set himself up",english,
1.0,"""@RenegadeMo: Fat hoes get chose"" lol",english,
1.0,"RT @keeLivinLavish: These bitches wanna fuck me, cuz dat molly got dem high&#128517;&#128138; http://t.co/xTnO13TnUS",english,
1.0,"""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit""",english,
0.0,RT @SunSentinel: The @SunSentinel Editorial Board endorses Charlie Crist for governor -- Better for Floridians http://t.co/t21z2YBZlQ http:&#8230;,english,
0.0,"6,499 rupees mein milega 5,000 mAh battery wala yeh smartphone https://t.co/UCZrpbDofe",hindi,
1.0,RT @GorgeousCamry_: I peep a lot of shit and I just laugh cause these hoes some actors !,english,
1.0,Kutiya ka bhosda,hindi,
1.0,I think you've made it clear that these hoes ain't loyal,english,
1.0,How tf you act like a bitch ?,english,
1.0,@HarleyyyQuinn_ trash,english,
0.0,"Thinking about the ""boom boom boom waaay ho"" video makes me laugh at least once a day.",english,
0.0,"Cheeniyon ko aisi Bharatiya elite force ka saamna karna pada jise ab tak Cheeniyon ne dekha hi nahi tha, na hi Cheeniyon ko koi jaankari thi. Ab ladai ke samay aisi force niklegi jo seedha Beijing mein nazar aayegi..!!",hindi,
1.0,"He said we gon be paying a bitch rent, I'm not even tryna buy her an extra sweet and sour sauce at McDonalds",english,
1.0,RT @TacoPablo_: Rich dollaz always trynna snatch a bitch. Like he a bitch &#128514;,english,
1.0,"It's one thing to be a hoe, but a ratchet hoe? Bitch please, take a seat --&gt; _/",english,
1.0,@claire_ming get some orange hoe,english,
0.0,#DDNews ke vishesh bulletin 'Express News' mein sirf aadhe ghante mein desh-duniya ki 100 khabre.,hindi,
1.0,"RT @iadorewomen_: ALL Relationships come w/ hatin ass hoes&#128589;, drama&#128074;, jealousy&#128530;, arguments&#128545;.. ALL THAT. Only REAL couples laugh at the shit &#8230;",english,
1.0,"Damn, birds stay shitting on my car..",english,
1.0,@AirSimba9 I don't be on the hoes but these hoes on my snapchat,english,
1.0,"RT @RollingWithTrin: ""1, 2, 3, 4, how many niggers are in my store? I knowwww you're stealing!"" &#128514;&#128514;&#128514;",english,
1.0,iski gand kitni moti hao,hindi,
0.0,"@oliver_______ if you're making 300 clams for betting 5, i hope you do it for a living",english,
1.0,Ion care fuck that hoe &#9996;&#65039;,english,
1.0,&#8220;@AbstractLife: @Nigel So you still rather have trash ass Geno Smith than Alex?!? You sick man&#8221; U still cant tell Alex sucks? You blind man,english,
1.0,"I got a gang of old ass drafts, all trash",english,
1.0,"What America teaches people: if you bitch about something enough, you'll get what you want.",english,
1.0,#FreeballoutPartyPart3 bitch it's going! 3 mo weeks&#128588;,english,
1.0,Ek Muslim vyakti ko ek #Hindu ke thook ko chatne ke liye majboor kiya ja raha hai. Sabse zyada sambhavat: uske vrat ko todne ke liye. Vahan ki windshield se pata chalta hai ki ghatna Surat ki hai.,hindi,
1.0,Pital ki gand,hindi,
0.0,"""GDP khane se pet nahi bhara kya, tikki se jyada chatpata thi GDP hamari pura chat kar gaye 😡 https://t.co/vjeCe0BR3R""",hindi,
0.0,Bhai jaan tum log ka ye haqiqat hai tum bhai jaan kabhi bhi ho....par tareeka ye hi hai... #swedenriots #DelhiRiots,hindi,
1.0,Parents Television Council: 'Scandal' sex scene after Charlie Brown was not OK | http://t.co/y3GnT4l7vc,english,
1.0,"""@obey_jrock__: This is a true ride or die bitch &#128175; http://t.co/bkwHX83fkW"" what the fuck hahahahah",english,
1.0,@hoes &#9829;,english,
1.0,lund lgrha ek dm handsome boiiii,hindi,
1.0,God people can be so mean. This Asian guy held the door for these girls and they said they were surprised he could see it with his slant eye,english,
1.0,RT @StephGhost: RT @iDntWearCondoms: Come somebody please get me a PS4? Willing to eat pussy for it if need be.,english,
1.0,I always wanted a bull dog them hoes clean fuck a pit,english,
0.0,"""Delhi: Pariksha dekar nikle Archit ne bataya, social distancing ka dhyan rakha gaya. Unhone kaha, 'Admit card release hone ke baad pata chala tha pariksha nahi tolegi' #JEEMain (Report, Anoop Pandey)""",hindi,
1.0,I'm just matching grams wit my fam bitch,english,
1.0,"""Kangana ki deewar girana loktantra par hamla hai. Arre kutt*o, Gujarat mein garibo ke ghar ke aage deewar bana kar kaun sa loktantra surakshit hua tha.""",hindi,
1.0,RT @itscoleharmon_: Birth Control should be mandatory for some of you hoes,english,
0.0,"&#8220;@KeAuraM: &#8220;@whitegoddesss: Repost . http://t.co/GCSrbhqoQP&#8221;&#128079;&#128079;&#128079;&#8221; ""kush blunt convos""?? A simple minded ho made this pic I bet",english,
1.0,All these bitches love Mosa sippin on the coca,english,
1.0,choot k baal h kya bsdk itna dhheeet,hindi,
0.0,Kaun sa sahi rahega?,hindi,
1.0,"@eHarmoniee first second an third mistake...&#128514;&#128514; i been hearing it wus trash tho...kinda wan give it a listen, kinda dont",english,
1.0,"""She's from Florida so you've got to do the sniff test in those swamp pussies"" &#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128553;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;",english,
1.0,@Lovelesslovely @Kwitchabichen25 hey aklve! Im taking out the black ghetto trash. Youre blocked nigger,english,
1.0,Bald head bitches think it's their time to prosper !,english,
1.0,"and this is why I'm single, I don't fuck with bitches or there attitudes foh.",english,
0.0,"@KenSuttling @LesleySuttling Him as well, They like their fried chicken,esp the spear chuckers.",english,
1.0,People gotta learn to appreciate the people that go out if their way to help you. Even if you don't want their help don't he a bitch,english,
1.0,She gon look over these bitches like terms and conditions...,english,
0.0,"4. ""@Main_Amitabh @SanjayAzadSln @ArvindKejriwal Ye Delhi jalane wale aatankwadi hai, isko to pagal kutte ki tarah dauda dauda kar peetna chahiye.""",hindi,
1.0,"when nino said ""cancel that bitch ill buy a new one"" &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;",english,
1.0,RT @stepheeezyy: Rt *nigga *bitch *him &#8220;@187XO_: ' I will never date a female with another niggah name on her lol . Wtf .&#8221;,english,
1.0,gnd me ghus ja,hindi,
1.0,You know these hoes wishy washy !,english,
1.0,RT @SkylarLogsdon: @viva_based bruh you fucked the shit out of my taste buds with that bitch.,english,
1.0,Yayyyy I'm gonna be jacking off to these bitches all day today http://t.co/LEmILFu1,english,
1.0, meko nii mtlb inn behen k lodo se,hindi,
1.0,Bhosdike,hindi,
1.0,choot k psine,hindi,
1.0,RT @NotoriousBM95: @Abel312_ @_WhitePonyJr_ @fallenloki Stick to hockey faggot. You're finished,english,
1.0,chutad jesi shkl or akl,hindi,
1.0,teri chut ka pani chahiye,hindi,
0.0,@CsSalazar15 wetback &#128513;&#128514;&#128514;&#128514;&#128514;&#128557;,english,
0.0,"""Kitna bhi cheekh le Mahesh Bhatt, tere kukarmo ki saza teri beti ko milni hi hai. Tu jitna cheekhega - Sushant ke chahne walon ko utna sukoon milega, abhi trailer pe ye haal hai toh soch film ke release par kya hoga @MaheshNBhatt RT SSR walon 🙏""",hindi,
1.0,@SteveStockmanTX hes just a friggin idiot that can say anything and his redneck teabagger constituants buy it. They love stupid people,english,
1.0,@JustDoItSlow on sale ass hoes,english,
0.0,"""JDU ki virtual rally ko janta ne nakara, nahin hui Bihar ke muddon ki charcha - Abhishek Jha @kumarprakash4u ki report https://t.co/yUrZkLjMa1""",hindi,
1.0,I wanna be around bitches &amp; have fun &#128556;,english,
0.0,"Bihar: Jehanabad ke Lal ne ganvai desh ki seema par apni jaan, oxygen ki kami ki vajah se hui maut

Jehanabad se Ranjit Rajan ki report

#China #Ladakh #Jehanabad 

https://t.co/jxaQKN9AI5",hindi,
1.0,@tyracountryman nah gurl this pussy private &#128581;,english,
1.0,"""Those ratchet broads don't represent me but YOUR white ass can't talk trash about them 'cause you on racist shit"" Black",english,
1.0,"Brahmanon itna ghinona, nichkut, kameena, soor ki aulad aur jaativadi is desh mein na aur koi hua hai aur na aage koi hoga.",hindi,
1.0,Them hoes don't like me &#128514;&#128514;&#128514;&#128514;&#128514;&#128553;&#128553;&#128553;&#128553;&#128530;&#9996;&#65039;,english,
0.0,"#RadioFreeNorthwest 218
Covington reads responses &amp; mocks FBI, Andy on Real Politics, Liv on her awakening, Gretchen
http://t.co/t9JyhAncPR",english,
1.0,"So my coworker is yellin at my other coworker and I so I'm like ""Who you talkin to? Cuz it's not me"" then she wanna bktrack like no bitch",english,
0.0,RT @Talkmaster: People who would vote for Charlie Crist and Michelle Nunn are why our founders did NOT put a right to vote in our Constitut&#8230;,english,
1.0,@emmysetter14 dayum saterlyt shoz un bayg ho-ul,english,
0.0,Space brownies &#128125;,english,
0.0,"""Is tasveer ne chhoo liya Anand Mahindra ka dil, unhone Nitin Gadkari se ki khaas guzarish .",hindi,
1.0,@_KaeeJones the bird gone run from your ass,english,
1.0,Niggas swear they don't trust these hoes but be fucking raw &#128528;&#128514;smh,english,
1.0,@CapoDaAssHole @Alejandro_Bihhh lmaoooo Beiber get these hoes wet big bro I'm Tryna tell you,english,
1.0,"3. ""Kendriya Cabinet ne haal hi mein is kendrashasit pradesh ki rajbhashaon mein Dogri, Kashmiri, aur Hindi ko shaamil karne ke prastav ko manzoori de di hai. Rajbhashaon ki list mein shaamil hone se un bhashaon ko jaanne-samajhne walon ko kya hasil hota hai?",hindi,
0.0,"e namoonon se door rahein..."" - Listen, idiots... There is a big difference between the voice of the people and the voice bought. Morons like you, who are preparing for SSC and Railway exams, will not write the wrong spelling of the railway in the trend... Don't drag the future of the country into your stupidity, and aspirants should stay away from examples like these.",hindi,
0.0,"1. ""Aims ki team ne Sushant ka postmortem karne wale doctors par uthaaye kai sawaal https://t.co/iOOvU4kqNW""",hindi,
1.0,RT @VuIture: This bitch eyebrows lookin like the bulls logo http://t.co/5EtOrG5GBT,english,
1.0,#NL Q.U.E.E.N. And reminded: I still don't get why Janelle Monae is so perplexed that people think she's queer...,english,
1.0,"RT @_MILLz5: ""@Spotlightasiaa: &#128514;&#128514;&#128514;&#128514;&#128514; why fab snapped like that http://t.co/gLKgTqIG15"" &#128514;&#128514;&#128514; ""konnnichiwa bitch""",english,
0.0,"7. ""Pranab Mukherjee ne 37 prarthiyon se judi 28 daya yachikaon ko kharij kiya. Pranab se pehle Rashtrapati rahin Pratibha Patil ne sabse jyada 30 logon ko fansi ke bande se bachaya tha. Pranab ne sirf saath ki fansi ki saja maaf ki. https://t.co/1G44U1OR4R""",hindi,
1.0,Man why do these hoes even bother wearing clothes when they're going out like that.,english,
1.0,Why can't you be humble like your moms and not hoes,english,
1.0,"RT @NinoDemayo: Chicks wait til their hair is all broken down to go natural in their 30s, but bitch about the young Carter's fro from birth&#8230;",english,
1.0,RT @NeskorikKenneth: Since you couldn't keep my dick outa your mouth at least keep my name out of it. Y'all some hoes for real.,english,
0.0,Some Jihadi posted a bio of the #ISIS boss Mr Awad with excellent sociological info. Can't thank him/her enough for the gift.,english,
1.0,"RT @polarisclub: ""im laughing so hard lay is the un-loyalist of hos""

plea",english,
1.0,I swear females think they know me.... bitch you don't know my intentions you just think you do,english,
1.0,&#128077;RT @kwagiheath: One'a y'all b!tches gon end up dead over a screen shot thinkn that sh!t funny...ain't too many niccas gon laugh at that b!,english,
1.0,I stopped snapping on women and calling them bitches.,english,
0.0,The Perfect Gift for the Jihadi on Your Shopping List http://t.co/YbcsutdGMw http://t.co/nNwums32b4,english,
0.0,"@NoShtickZone Charlie Brown
A Christmas Story
Rudolph, but only because of the island of misfit toys.",english,
0.0,"22. ""Kangana ko Griha Mantralaya ne 'Y Plus' category ki suraksha muhaiya karayi.""",hindi,
1.0,Thas my bitch too,english,
1.0,#Dutch people who live outside of #NewYorkCity are all white trash.,english,
0.0,"6. ""Suresh Raina ne Twitter ke jariye UAE se apne Bharat lautne ki vajah batayi -",hindi,
1.0,My bae said u bitches watch y'all mouth lmao,english,
1.0,Where ya titties lil bitch?,english,
1.0,Muth laga kapda,hindi,
1.0,"RT @JimNorton: Sterling is a cunt. My point is simply until everyone has privately taped conversations released, shut the fuck up.",english,
1.0,It's boner Sunday bitch,english,
1.0,RT @Pouyalilpou: i got bitches an i know some killlllllas fuck y'all,english,
1.0,Baglundi randi,hindi,
0.0,"RT @EchelonInsights: Rick Scott beating win number in 30 counties, Charlie Crist in 13. #FLGOV",english,
1.0,I made ya bitch sicc wit that one &#128514;,english,
1.0,u want a cookie tomorrow bitch @_lostb0y,english,
1.0,RT @mckooley: shimmy shimmy ya bitch,english,
1.0,RT @JayAllDay612: A hoe is gonna be a hoe no matter what,english,
1.0,&#8220;@najmaaa_ali: Lool I agree RT&#8220;@stopitfive_: the most fucked up show I ever watched was misfits&#8221;&#8221; wen Simone wifed that hoe was the saddest,english,
0.0,&#8220;@HeyKeifer: Oreos are basically dirt circles with cream.&#8221; True.,english,
1.0,"@bogglethemind83 @AJ0427 Was about to fly to Portugal &amp; open a can of whoopass since they started to zoom out during ""Still run this bitch""",english,
1.0,na chathi na chuchi baatein uchi uchi ,hindi,
1.0,Jhant mein phassa muth,hindi,
1.0,"Where the bad bitches at? And by ""Bad Bitches"", I mean ""tacos"".",english,
1.0,@Walmart fuck your store bitch,english,
1.0,"Jameis Winston got benched for standing on a table and saying ""Fuck her right in her pussy"".

The irony is so deep you can use a shovel.",english,
1.0,the receptionist im always forced to talk to is such a racist cunt. i called her for an error and she said she'll call me. 40 mins. nothing.,english,
1.0,Bruh RT @share_ps4: He def wanted to call L Rock a nigger in that last RT LMAOOOOOOOOOOOOOOOOOOOOOOOOOOOO,english,
1.0,I had wack dick until I started messing with white hoes. They stuck around &amp; let a young goon practice on em.,english,
0.0,"1. ""Poorv Pradhan Mantri Dr. Manmohan Singh ne 10 Rajaji Marg pahunchkar poorv Rashtrapati Pranav Mukherjee ko shraddhanjali di #PranabMukherjee https://t.co/egBXvOgC1w""",hindi,
0.0,"@Kunal829122 @narendramodi @rpbreakingnews Gareebi, berojgaari, bhukhmari achhe-achhe ki shakal kaali kar deti hai. Rozgaar tha, naukri thi, sab chheen liya is gadhdar Pradhan Mantri ne, ghar mein dane-dane ke liye mohtaaj kar diya is harami ne.",hindi,
1.0,I fucked the shit out yo bitch yesterday til she couldn't stand straight she called me earlier asking could she come and get a replay,english,
0.0,"""RT @aadhiIa: Uddhav Thackeray ki BMC sena ka POK mein ghuskar dhamaka. Aatankvadi sangathanon ke kayi bunkar tabah kiye. Sanghi aatankwadiyon samet poore Lashkar-e-Noor...""",hindi,
1.0,"RT @SheSeauxSaditty: Yall act like your pussy did something magical because a nigga suddenly didn't pull out. Naw, he just didn't pull out,&#8230;",english,
1.0,"""These hoes keep callin but I ain't pickin up""&#127926;&#127926;",english,
1.0,saale k pas lund hi n hai,hindi,
1.0,RT @jaaaayr: pretty bitch is always comin thru &#9786;,english,
1.0,bhai lund mt bn pyar m,hindi,
1.0,tere muh m dedunga loudi,hindi,
1.0,Chutad dana,hindi,
1.0,bhai maa choddunga gaali chodh de,hindi,
0.0,"RT @HeroineAddict: 15 y/o me totally understood 'Twin Peaks'.

40 y/o me can't seem to follow these 'The Great Outdoors' Goldfish crackers &#8230;",english,
1.0,Just need a bad bitch thats gone always hold me down,english,
1.0,"RT @abreumegan_: Sex on 1st date dont mean you a hoe, waiting 90 days wont make you a wife, cute pics dont mean y'all happy, having a title&#8230;",english,
0.0,@deIukesionaI more like emily is a little twat,english,
0.0,Oreo milkshakes will forever remind me of @jay_ibarra95,english,
1.0,"""@likemicah: Y'all dumb ass niggas be so pressed to have hoes. Y'all weak as fuck as fuck"" ...weed over hoes, oreos too.",english,
1.0,RT @RIPvuhsace: Mayweather a lil bitch this nigga out here dancing,english,
1.0,"""@whoiscoreyking: Chase money &#128176; not &#128581; hoes &#128111; &#128175;&#128175;""&#58399;&#58399;&#58399;&#58399;",english,
1.0,"Haha niggah @Mig_uel04 gave up , can't keep up with me &#128540; loser !",english,
1.0,RT @yagurlbubblez87: Ugly bitch prolly so cockeyed she lookin at the dick and balls up close at the same time while suckin at the same time,english,
1.0,Yo bitch choosin just let her http://t.co/zg6X4gDyRZ,english,
1.0,@RodMarley44 fr 12 was Finna bam a nicca he said yu lucky I jus got a robbery call,english,
1.0,@don07052 that nigguh sucks,english,
1.0,@bm00re43 bitches naked**,english,
0.0,RT @lexxxilove: I wake up in the middle of the night and chug the orange juice straight from the bottle. Sorry mom.,english,
1.0,So jus don't be faithful cus u never kno what your bitch doing lmao,english,
1.0,RT @BallOut057: @1stBlocJeremiah this bitch think look like Rihanna ? &#128514;&#128514;&#128514;&#128557;&#128557;&#128557; http://t.co/o7Q3CMDPnt,english,
0.0,"UG-C ne first aur second year ke chatron ki pariksha aayojit karane ke adesh jaari kar diye hain. Grih Mantralay ne sabhi rajyon ko school kholne ki permission di @PIBHomeAffairs""",hindi,
1.0,"""A pussy a day keeps the devil away"" -@DoperThanYola",english,
0.0,"mashed potatoes , string beans , yellow rice , and chicken &#128523;",english,
1.0,Waiting on these bitches @badnewsbridget @MorbidMermaid &#128034;&#128034;&#128034;&#128034;,english,
1.0,darf retarded lol,english,
1.0,RT @UrKindOfBrand: If she's always been a dyke she's a virgin. No way around that. Her first time eating box don't take her virginity.... #&#8230;,english,
1.0,@NTXProgressive Yeah..cause if anyone thinks this clown went to @target to buy Oreos is as stupid as all of them look,english,
1.0,@justezzzee that nigga ain't no fucking champ he a straight up bitch who not bout shit # bitch made!,english,
1.0,&#8220;@trillasfvck: all these bitches getting mommy money&#8221; niggas too.,english,
1.0,If you attractive people just gone up and assume you got hoes,english,
1.0,Munching on ww crackers &amp; studying NYCs trans syst. Since NYC &amp; I haven't had a thing in over 15 yrs #clubinsomnia #vacay,english,
0.0,Jammu aur Kashmir mein chal rahe sainya abhiyaanon ka video hai।,hindi,
1.0,"""Yup. Fuck em @Aloha_Hoesss: Playing like trash RT @80sbaby4life Clippers don't wanna play lol""",english,
1.0,"""I'm comparing KFC to the pussy"" @MaxOn_MaxOff5",english,
1.0,RT @Partyprobs: If you open a beer and don't finish it you are what is known as a little bitch,english,
1.0,My nigguh,english,
1.0,bitches love Sosa so I guess I'll wear Sammy Sosa &#128527;&#128514;,english,
1.0,sometimes I'm just like wow this bitch had the audacity to talk shit .... look at you and your life then look at me and mine &#128514;&#128514;,english,
1.0,RT @Cameron_773: You a hoe if your cellphone bill more than $100 a month,english,
1.0,@SusanneWhite they're so goooood. I just want like a savoury salty cheesy cracker,english,
1.0,RT @NikoWavy: Why ain't no single Fathers getting wished a Happy Mothers Day like y'all do these bitches on Fathers Day?,english,
1.0,"Lol @ ""active"" RT @SherinaVictoria: Idgaf about an active hoe as long as she's not fucking my man. need to learn how to mind your business.",english,
0.0,"Currently, &#8216;Sup twat licker&#8217;",english,
1.0,Niggas are funny. &amp; karma is a bitch. Good morning .,english,
1.0,Lode mein chopstick,hindi,
1.0,Cant wait! RT @StrictlyKeyz All niggas wanna do at 45 is pop Viagra and pop young bitches,english,
1.0,this party goin be off the chain/bad bitches only http://t.co/Qx7BZLFh,english,
1.0,life is ya professor better know that bitch is gone test ya,english,
1.0,""" cancel that bitch like Nino """,english,
0.0,"17. ""Mitron dukhad khabar doctor Vandana Tiwari ji ki maut ho gayi hai. Vah pichle hafti hi UP ke ek gaav mein Corona test ke liye gayi thi? Lekin jihadiyon ne un par hamla karke gambhir roop se ghaayal kar diya tha! Logon ke jeevan bachane mein juti ek yoddha pichle saat din se apna jeevan bachane ke liye lad rahi thi par vo haar gayi!! Bhaavpoorn shradhanjali""",hindi,
0.0,"2. ""Antanio Maino aur Rahul Vinci gupt rog ka ilaaj karane videsh gaye, 😆",hindi,
1.0,RT @YBeJeff: When you ate the pussy but yeen think she was gone tell anybody&#128555;&#128555; http://t.co/WgIHekh5qb,english,
1.0,Muth laga kapda,hindi,
0.0,"- ""DPS ne chalu kar diya desh sahayog... ₹400 mein har chatra ko yeh mask lena padega sochiye loot ki had kar di in kamino ne badiya se badiya n95 mask bhi ₹100 ya 150 tak milta hai in private schools ko school na keh ke manavta ka kasaikhana ghoshit karna chahiye. Kya sarkar ki zimmedari nahi banti... inke khilaaf action lena?""",hindi,
0.0,"""Hope you may hear about flash floods… Now you can see live… Two minutes flash floods at Kedarnath… On the way to Kedarnath yesterday… Washed away big stones.. that's nature…""",hindi,
1.0,"I swear, new bitches here me rap and its a WRAP !!",english,
1.0,Lund biryani,hindi,
1.0,My roommate is eating so obnoxiously I wanna fucking slit his throat,english,
1.0,How you cry like a bitch every time me other Chiefs fans have friendly debates?????,english,
1.0,@Hendrixoxo lemme guess you wore the hilly hicks sweats/leggings &#128514;&#128514;&#127874;&#127856;&#128079;&#127825;,english,
1.0,bitches talk... hoes talk even more!!!,english,
1.0,hath se chodega bsdk,hindi,
1.0,&#8220;@almightyburr: gotta buy those anti-slip shoes so these hoes won't catch me slipping&#8221;,english,
1.0,I already know Wilson gone hoe later on let me gone get my ammo,english,
1.0,"Life is a bitch, but every dog has its day",english,
1.0,Brandon Jennings trash,english,
1.0,Still waiting for oomf to hit that hoe lololol,english,
1.0,"RT @ImNeverChillin: When yo phone go off in class &amp; the teacher say ""turn that trash off"" but it's one of the songs on yo mixtape http://t.&#8230;",english,
1.0,Switcheroo on yo main bitch me and my nigga hell naw we don't date hoes,english,
1.0,@sportswatch time to dump another diet coke in the trash,english,
1.0,@treyspears3 dude your fucking gay you made a twitter just to mock me fucking lowlife,english,
